1	1	1	2	3	12
1	2	4	5	6	7
1	3	8	9	10	11
2	1	3	11	4	9
2	2	2	6	8	5
2	3	12	10	7	1
3	1	3	11	5	8
3	2	6	4	1	10
3	3	9	12	2	7
4	1	7	1	4	8
4	2	5	3	12	10
4	3	11	6	9	2
5	1	10	7	11	3
5	2	2	5	9	1
5	3	8	12	6	4
6	1	9	10	7	5
6	2	1	6	11	12
6	3	2	8	3	4
7	1	12	9	8	3
7	2	7	10	6	2
7	3	5	1	4	11
8	1	6	3	5	1
8	2	11	7	12	8
8	3	4	10	2	9
