Configuration,Repeat3,Repeat4,0,1,2,3
16x2,0,0,72,48
20x2,0,0,130,60
24x2,0,0,204,72
28x2,0,0,294,84
32x2,0,0,400,96
36x2,0,0,522,108
40x2,0,0,660,120
44x2,0,0,814,132
48x2,0,0,984,144
52x2,0,0,1170,156
56x2,0,0,1372,168
60x2,0,0,1590,180
64x2,0,0,1824,192
68x2,0,0,2074,204
72x2,0,0,2340,216
76x2,0,0,2622,228
80x2,0,0,2920,240
84x2,0,0,3234,252
88x2,0,0,3564,264
92x2,0,0,3910,276
96x2,0,0,4272,288
100x2,0,0,4650,300
104x2,0,0,5044,312
108x2,0,0,5454,324
112x2,0,0,5880,336
116x2,0,0,6322,348
120x2,0,0,6780,360
124x2,0,0,7254,372
128x2,0,0,7744,384
132x2,0,0,8250,396
136x2,0,0,8772,408
140x2,0,0,9310,420
144x2,0,0,9864,432
148x2,0,0,10434,444
152x2,0,0,11020,456
156x2,0,0,11622,468
160x2,0,0,12240,480
164x2,0,0,12874,492
168x2,0,0,13524,504
172x2,0,0,14190,516
16x3,0,0,48,72
20x3,0,0,100,90
24x3,0,0,168,108
28x3,0,0,252,126
32x3,0,0,352,144
36x3,0,0,468,162
40x3,0,0,600,180
44x3,0,0,748,198
48x3,0,0,912,216
52x3,0,0,1092,234
56x3,0,0,1288,252
60x3,0,0,1500,270
64x3,0,0,1728,288
68x3,0,0,1972,306
72x3,0,0,2232,324
76x3,0,0,2508,342
80x3,0,0,2800,360
84x3,0,0,3108,378
88x3,0,0,3432,396
92x3,0,0,3772,414
96x3,0,0,4128,432
100x3,0,0,4500,450
104x3,0,0,4888,468
108x3,0,0,5292,486
112x3,0,0,5712,504
116x3,0,0,6148,522
120x3,0,0,6600,540
124x3,0,0,7068,558
128x3,0,0,7552,576
132x3,0,0,8052,594
136x3,0,0,8568,612
140x3,0,0,9100,630
144x3,0,0,9648,648
148x3,0,0,10212,666
152x3,0,0,10792,684
156x3,0,0,11388,702
160x3,0,0,12000,720
164x3,0,0,12628,738
168x3,0,0,13272,756
172x3,0,0,13932,774
16x4,0,0,24,96
20x4,0,0,70,120
24x4,0,0,132,144
28x4,0,0,210,168
32x4,0,0,304,192
36x4,0,0,414,216
40x4,0,0,540,240
44x4,0,0,682,264
48x4,0,0,840,288
52x4,0,0,1014,312
56x4,0,0,1204,336
60x4,0,0,1410,360
64x4,0,0,1632,384
68x4,0,0,1870,408
72x4,0,0,2124,432
76x4,0,0,2394,456
80x4,0,0,2680,480
84x4,0,0,2982,504
88x4,0,0,3300,528
92x4,0,0,3634,552
96x4,0,0,3984,576
100x4,0,0,4350,600
104x4,0,0,4732,624
108x4,0,0,5130,648
112x4,0,0,5544,672
116x4,0,0,5974,696
120x4,0,0,6420,720
124x4,0,0,6882,744
128x4,0,0,7360,768
132x4,0,0,7854,792
136x4,0,0,8364,816
140x4,0,0,8890,840
144x4,0,0,9432,864
148x4,0,0,9990,888
152x4,0,0,10564,912
156x4,0,0,11154,936
160x4,0,0,11760,960
164x4,0,0,12382,984
168x4,0,0,13020,1008
172x4,0,0,13674,1032
16x5,0,0,0,120
20x5,0,0,40,150
24x5,0,0,96,180
28x5,0,0,168,210
