Configuration,0,1,2,3,4,5,6
16x2,32,32,0,0,0,0
20x2,40,40,0,0,0,0
24x2,48,48,0,0,0,0
28x2,56,56,0,0,0,0
32x2,64,64,0,0,0,0
36x2,72,72,0,0,0,0
40x2,80,80,0,0,0,0
44x2,88,88,0,0,0,0
48x2,96,96,0,0,0,0
52x2,104,104,0,0,0,0
56x2,112,112,0,0,0,0
60x2,122,116,2,0,0,0
64x2,128,128,0,0,0,0
68x2,136,136,0,0,0,0
72x2,145,142,1,0,0,0
76x2,152,152,0,0,0,0
80x2,160,160,0,0,0,0
84x2,168,168,0,0,0,0
88x2,176,176,0,0,0,0
92x2,184,184,0,0,0,0
96x2,192,192,0,0,0,0
100x2,201,198,1,0,0,0
104x2,208,208,0,0,0,0
108x2,223,202,7,0,0,0
112x2,224,224,0,0,0,0
116x2,232,232,0,0,0,0
120x2,240,240,0,0,0,0
124x2,249,246,1,0,0,0
128x2,256,256,0,0,0,0
132x2,264,264,0,0,0,0
136x2,272,272,0,0,0,0
140x2,281,278,1,0,0,0
144x2,290,284,2,0,0,0
148x2,298,292,2,0,0,0
152x2,304,304,0,0,0,0
156x2,315,306,3,0,0,0
160x2,352,256,32,0,0,0
164x2,328,328,0,0,0,0
168x2,337,334,1,0,0,0
172x2,345,342,1,0,0,0
16x3,16,48,0,0,0,0
20x3,20,60,0,0,0,0
24x3,25,70,1,0,0,0
28x3,29,82,1,0,0,0
32x3,33,94,1,0,0,0
36x3,36,108,0,0,0,0
40x3,41,118,1,0,0,0
44x3,45,130,1,0,0,0
48x3,48,144,0,0,0,0
52x3,52,156,0,0,0,0
56x3,56,168,0,0,0,0
60x3,60,180,0,0,0,0
64x3,64,192,0,0,0,0
68x3,68,204,0,0,0,0
72x3,73,214,1,0,0,0
76x3,77,226,1,0,0,0
80x3,80,240,0,0,0,0
84x3,85,250,1,0,0,0
88x3,89,262,1,0,0,0
92x3,92,276,0,0,0,0
96x3,96,288,0,0,0,0
100x3,104,292,4,0,0,0
104x3,104,312,0,0,0,0
108x3,118,304,10,0,0,0
112x3,112,336,0,0,0,0
116x3,117,346,1,0,0,0
120x3,121,358,1,0,0,0
124x3,125,370,1,0,0,0
128x3,128,384,0,0,0,0
132x3,132,396,0,0,0,0
136x3,136,408,0,0,0,0
140x3,140,420,0,0,0,0
144x3,145,430,1,0,0,0
148x3,150,440,2,0,0,0
152x3,152,456,0,0,0,0
156x3,162,456,6,0,0,0
160x3,192,416,32,0,0,0
164x3,165,490,1,0,0,0
168x3,168,504,0,0,0,0
172x3,172,516,0,0,0,0
16x4,0,64,0,0,0,0
20x4,0,80,0,0,0,0
24x4,0,96,0,0,0,0
28x4,2,108,2,0,0,0
32x4,2,124,2,0,0,0
